Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Croydon,0.006984462,51.376165,-0.098234,23941000,65.88,19904,2538,10972,2327,801,1652,6859,980,1260,"1,630",8470,10550,"13,280",0.054774918,0.030194453,0.008671411,0.006403800,0.004546230,0.018875661,0.002204316,"16,759","35,097","17,578",3151,"64,127","13,291","21,668","3,565",2411.43,1505.18,2218.98,0,540,1,E09000008,-5.6%,0.0233,0.0276,3.21%,0.077,0.1651,0.3054,0.1681,0.1623,0.0637,0.0422,0.0162,487,995,775,363378,27972,60003,110967,61072,58989,23155,15318,5902
Worcestershire,0.010754739,52.254523,-2.266838,54151000,95.64,37652,6089,25403,5612,1944,3971,12040,2320,3010,"4,170",19160,24050,"31,520",0.066503111,0.044868228,0.009769168,0.009912235,0.007013807,0.021265735,0.003433604,"27,477","52,814","24,645",5531,"139,629","27,602","79,620","5,050",6095.65,3770.25,5153.05,0,550,1,E10000034,-3.5%,0.0338,0.0409,5.12%,0.0549,0.1324,0.2676,0.1481,0.2043,0.1035,0.0628,0.0263,370,"1,005","1,090",566169,31106,74953,151533,83848,115642,58621,35581,14885
Camden,0.006117873,51.551706,-0.158826,12908000,58.59,11487,1348,5774,1233,424,875,4044,520,550,680,4570,4940,"5,970",0.052133540,0.026205194,0.008432499,0.005595948,0.003971172,0.018353620,0.001924316,"32,713","43,257","23,472",1858,"51,658","11,590","14,422","2,412",1281.04,831.12,1165.6,0,570,1,E09000007,9.6%,0.0207,0.0189,2.12%,0.0598,0.2495,0.3305,0.1173,0.1342,0.0587,0.0358,0.0143,726,845,755,220338,13168,54964,72817,25837,29575,12937,7897,3143
Hounslow,0.005894699,51.460922,-0.373149,14498000,57.08,13191,1497,6660,1363,469,967,4668,580,650,830,5130,5730,"7,160",0.051941864,0.026224912,0.008442374,0.005367050,0.003807731,0.018381065,0.001846769,"19,546","31,922","20,288",2144,"51,719","10,104","12,104","2,351",1348.99,946.93,1290.62,0,620,1,E09000018,18.4%,0.0202,0.0202,2.31%,0.0777,0.1993,0.3208,0.1487,0.1479,0.0575,0.0354,0.0129,683,910,825,253957,19725,50602,81457,37762,37552,14592,8982,3285
Bournemouth,0.011112262,50.719164,-1.880769,18060000,98.42,11295,2039,7664,1924,669,1366,3632,820,880,"1,090",6390,6800,"8,220",0.061556153,0.041767716,0.009090364,0.010485528,0.007444507,0.019793886,0.003645955,"25,488","50,083","25,592",1668,"46,949","7,620","22,975","1,398",2542.73,957.41,1723.8,0,660,1,E06000028,-2.3%,0.0348,0.0388,4.44%,0.056,0.2082,0.2799,0.1172,0.1626,0.0799,0.0627,0.0335,812,840,650,183491,10275,38206,51354,21509,29836,14661,11504,6146
Haringey,0.004754321,51.590611,-0.110971,12402000,48.65,12580,1212,5586,1088,372,773,4629,480,570,710,4390,5120,"6,280",0.049347654,0.021912241,0.008339675,0.004267905,0.003032252,0.018158211,0.001459247,"25,094","40,891","20,308",2126,"51,896","13,026","12,974","2,250",1024.57,820.37,1047.69,0,660,1,E09000014,5.6%,0.0172,0.0187,2.10%,0.071,0.2063,0.3492,0.1552,0.1305,0.0493,0.0289,0.0095,671,995,715,254926,18112,52601,89014,39558,33272,12575,7373,2421
Wirral,0.010951176,53.333333,-3.083333,30624000,95.79,20874,3502,14374,3253,1131,2303,6679,1320,1520,"1,920",10840,12200,"14,770",0.065275515,0.044949231,0.009594006,0.010172523,0.007201759,0.020886038,0.003536773,"26,314","44,039","26,023",3068,"83,230","15,580","36,589","3,820",3385.4,2034.21,3122.31,0,690,1,E08000015,-9.2%,0.0339,0.0383,4.52%,0.0579,0.1355,0.2607,0.1539,0.2014,0.0979,0.0666,0.0261,713,"1,065","1,215",319783,18514,43346,83352,49207,64398,31319,21313,8334
East Riding,0.011754180,53.821589,-0.718998,34532000,103.33,23435,3928,16482,3581,1239,2533,7401,1480,1960,"2,670",12220,15630,"20,240",0.070127088,0.049320873,0.010174188,0.010715814,0.007579770,0.022146814,0.003707594,"24,044","44,328","21,730",3400,"72,725","13,408","43,927","2,191",3744.38,2513.51,3399.09,0,705,1,E06000011,-5.2%,0.0366,0.0436,5.37%,0.0491,0.1162,0.2585,0.1427,0.2197,0.1159,0.071,0.027,633,"1,005","1,110",334179,16400,38828,86401,47675,73420,38716,23720,9019
Warwickshire,0.010086640,52.267135,-1.467522,49190000,90.44,35293,5502,23053,5067,1754,3586,11397,2090,2740,"3,810",17410,22070,"29,170",0.064701526,0.042262326,0.009598991,0.009289169,0.006574099,0.020893755,0.003215552,"28,216","42,450","23,245",5236,"127,049","27,761","57,822","5,302",5392.19,3457.26,4685.2,0,790,1,E10000031,-4.1%,0.032,0.0374,4.57%,0.0575,0.1419,0.2767,0.1477,0.1943,0.0987,0.0592,0.0241,478,"1,180","1,425",545474,31364,77394,150922,80549,105974,53826,32288,13157
Dorset,0.014712827,50.739066,-2.338235,51622000,125.02,30298,6075,23625,5600,1933,3975,9281,2310,2860,"3,800",18270,22150,"28,180",0.073377653,0.057216551,0.010326831,0.013562442,0.009626912,0.022477325,0.004681464,"22,035","37,960","23,016",4264,"95,243","14,807","52,406","2,535",6583.91,3361.49,5263.68,0,885,1,E10000009,-13.2%,0.0442,0.053,6.48%,0.0468,0.1094,0.2354,0.1414,0.2148,0.1259,0.0874,0.0389,603,"1,205","1,285",412905,19333,45160,97186,58369,88712,51990,36092,16063
