Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Knowsley,0.008780408,53.454594,-2.852907,11293000,77.4,8826,1281,5544,1167,404,827,2882,470,600,740,4000,4920,"5,950",0.060496391,0.038000452,0.009075144,0.007999013,0.005668538,0.019754203,0.002769153,"14,572","26,418","19,335",1324,"28,211","4,166","8,283","1,054",963.7,777.27,1240.97,5,270,1,E08000011,2.4%,0.0274,0.0323,3.85%,0.0625,0.1579,0.2664,0.1622,0.1931,0.0819,0.0597,0.0162,733,505,565,145893,9121,23043,38869,23667,28179,11944,8706,2364
Portsmouth,0.007871021,50.816667,-1.083333,14833000,72.35,11242,1614,6590,1508,525,1067,3643,630,730,910,5250,5980,"7,230",0.054824048,0.032137562,0.008158747,0.007354089,0.005203457,0.017765879,0.002560276,"16,836","46,952","18,806",1673,"38,634","6,361","17,508","2,918",1772.15,891.56,1328.83,5,300,1,E06000044,2.0%,0.0256,0.0285,3.30%,0.0661,0.2379,0.27,0.1408,0.1515,0.0676,0.0449,0.0212,493,495,515,205056,13548,48786,55372,28880,31058,13861,9210,4341
Nottingham,0.006925543,52.954783,-1.158109,19608000,64.14,15587,2117,8662,1963,682,1390,5036,820,840,"1,010",6940,7170,"8,480",0.050991233,0.028336823,0.007566736,0.006421748,0.004547239,0.016474745,0.002231091,"15,515","61,855","23,894",2313,"72,614","8,642","29,850","3,030",2150.48,1138.38,1889.37,5,310,1,E06000018,-2.0%,0.0227,0.0215,2.33%,0.0653,0.281,0.2618,0.1388,0.1368,0.0573,0.0421,0.0169,481,640,830,305680,19959,85911,80021,42435,41802,17520,12877,5155
Enfield,0.007056768,51.652299,-0.080712,20871000,66.79,16811,2205,9370,2030,701,1440,5745,870,1080,"1,380",7390,9010,"11,320",0.053801054,0.029987263,0.008445719,0.006496707,0.004608501,0.018386000,0.002243444,"26,307","35,647","21,107",2639,"66,262","18,510","18,779","3,809",2233.18,1321.36,1903,5,315,1,E09000010,10.0%,0.0236,0.0256,2.88%,0.0785,0.1741,0.2979,0.1729,0.1524,0.0653,0.0421,0.0169,405,690,575,312466,24513,54394,93082,54035,47609,20392,13159,5282
Luton,0.006545243,51.878671,-0.420026,12317000,60.61,10448,1330,5700,1200,415,850,3526,500,610,770,4360,5180,"6,360",0.051417070,0.028051043,0.007972402,0.005905483,0.004183050,0.017352277,0.002042313,"9,092","88,071","20,688",1620,"42,130","4,258","28,504","1,302",1144.43,828.83,1194.73,5,315,1,E06000032,5.7%,0.0215,0.0228,2.54%,0.0817,0.201,0.2828,0.1751,0.1419,0.0622,0.0415,0.0138,502,570,450,203201,16592,40837,57464,35589,28838,12644,8440,2797
Havering,0.010580360,51.577924,0.212083,21941000,92.5,14923,2510,10096,2342,814,1660,4831,960,1120,"1,420",7760,9020,"11,170",0.062904667,0.042557496,0.009353713,0.009872193,0.006997370,0.020364032,0.003431240,"27,258","42,333","23,624",2219,"56,209","12,138","24,156","2,347",2482.69,1338.37,2311.67,5,325,1,E09000016,11.3%,0.0327,0.034,3.78%,0.0576,0.1493,0.2696,0.1567,0.1887,0.0867,0.066,0.0255,542,505,780,237232,13661,35425,63948,37166,44755,20561,15660,6056
Southwark,0.004447019,51.502781,-0.087738,13380000,46.41,13914,1282,5788,1173,403,833,5094,520,700,880,4730,6250,"7,710",0.048265073,0.020077493,0.008117024,0.004068918,0.002889522,0.017670137,0.001397932,0,"132,857","14,503",2340,"41,874",0,"41,874",0,1224.65,770.88,1090.02,5,330,1,E09000028,-0.4%,0.0164,0.0181,2.03%,0.0719,0.243,0.3491,0.1329,0.1257,0.0416,0.0259,0.01,449,825,470,288283,20739,70047,100643,38299,36226,11979,7466,2884
Lewisham,0.005495043,51.441458,-0.011701,14924000,54.09,13958,1516,6580,1399,483,993,5071,600,640,800,5280,5840,"7,210",0.050593544,0.023850517,0.008445548,0.005070953,0.003599326,0.018380847,0.001750729,0,"102,335","13,323",2330,"36,896",0,"36,896",0,1443.25,891.1,1319.9,5,330,1,E09000023,0.4%,0.0191,0.0186,2.08%,0.0798,0.1954,0.3453,0.1504,0.1343,0.0494,0.0327,0.0126,431,700,490,275885,22004,53905,95276,41503,37062,13641,9013,3481
Sandwell,0.008598890,52.536167,-2.010793,23831000,77.35,17684,2649,10898,2453,855,1734,5817,1010,1130,"1,380",8430,9300,"11,130",0.057403843,0.035375881,0.008673551,0.007962657,0.005628719,0.018882501,0.002775406,"27,693","31,833","24,251",2672,"74,947","18,404","19,788","3,383",2557.6,1592.22,2363.66,5,355,1,E08000028,13.1%,0.0274,0.0285,3.15%,0.0736,0.1685,0.2799,0.1678,0.1581,0.0796,0.0524,0.0201,476,720,745,308063,22669,51918,86212,51707,48716,24520,16136,6185
Solihull,0.010973804,52.411811,-1.77761,19931000,96.47,13503,2268,9218,2095,724,1486,4316,860,1070,"1,380",7050,8480,"10,540",0.065334778,0.044601643,0.009589982,0.010136737,0.007190067,0.020883130,0.003503102,"59,489","60,064","44,722",1982,"61,583","15,510","21,436","2,724",2263.26,1313.55,2005.52,5,365,1,E08000029,2.5%,0.0341,0.0385,4.47%,0.0559,0.1296,0.2659,0.1619,0.1951,0.099,0.066,0.0266,498,565,465,206674,11555,26795,54952,33462,40314,20463,13632,5501
Coventry,0.008363831,52.406822,-1.519693,23912000,75.05,17677,2651,10814,2445,846,1732,5714,1020,1220,"1,520",8460,9990,"12,170",0.055770444,0.034117870,0.008281802,0.007713907,0.005464412,0.018027511,0.002669107,"27,201","37,493","21,713",2625,"68,812","17,128","23,155","2,612",2697.98,1552.1,2277.58,5,375,1,E08000026,17.8%,0.0266,0.0268,2.91%,0.0709,0.2145,0.2643,0.1513,0.1531,0.0758,0.049,0.0211,481,725,800,316960,22476,67984,83760,47949,48541,24015,15543,6692
Hillingdon,0.007370335,51.535183,-0.448138,18544000,67.71,15023,2019,8516,1842,636,1306,5075,770,930,"1,180",6560,7850,"9,720",0.054841277,0.031087553,0.008509287,0.006724198,0.004767537,0.018526225,0.002321710,"31,428","45,427","23,167",2331,"63,825","17,994","21,871","3,082",1882.45,1175.6,1797.43,5,385,1,E09000017,4.7%,0.024,0.0252,2.82%,0.0719,0.187,0.294,0.1621,0.1565,0.0659,0.0454,0.0171,491,665,680,273936,19704,51221,80539,44416,42878,18061,12425,4692
North Somerset,0.012065203,51.440966,-2.742653,21482000,106.03,13822,2444,9824,2273,788,1610,4388,940,1300,"1,820",7600,10200,"13,610",0.068234551,0.048497774,0.009952312,0.011221034,0.007948027,0.021662076,0.003890090,"33,396","22,468","27,489",2016,"55,828","12,256","12,956","11,456",2656.34,1422.14,2057.51,5,390,1,E06000024,-15.8%,0.0375,0.0432,5.27%,0.0575,0.1187,0.265,0.1469,0.2015,0.109,0.0693,0.0322,565,570,575,202566,11653,24035,53690,29748,40807,22071,14043,6519
Oldham,0.008061468,53.54093,-2.111366,16662000,74.08,12910,1813,7833,1666,577,1179,4250,690,840,"1,080",5900,6950,"8,590",0.057404056,0.034829277,0.008683975,0.007407836,0.005242400,0.018897540,0.002565619,"20,729","32,977","21,850",1953,"49,197","10,441","15,171","1,972",1699.72,1190.99,1514.79,5,390,1,E08000004,-4.1%,0.0262,0.0297,3.50%,0.0733,0.1579,0.2697,0.1782,0.1744,0.0813,0.0465,0.0187,631,730,690,224897,16491,35512,60644,40066,39231,18280,10465,4208
Kingston-upon-Hull,0.008057534,53.745671,-0.336741,18727000,73.04,14622,2066,8708,1902,661,1346,4781,780,890,"1,100",6630,7470,"8,880",0.057026747,0.033961764,0.008564542,0.007417923,0.005249487,0.018646210,0.002577943,"24,967","76,374","26,757",2196,"68,532","12,069","37,966","2,547",1915.84,1192.47,1847.04,5,400,1,E06000010,0.3%,0.0259,0.028,3.25%,0.0677,0.2037,0.2735,0.1459,0.1698,0.0714,0.0499,0.0181,663,765,935,256406,17358,52227,70130,37421,43539,18301,12788,4642
Wandsworth,0.004990309,51.457072,-0.181782,15461000,50.38,14979,1532,6655,1404,484,996,5597,610,720,870,5470,6200,"7,410",0.048792326,0.021677877,0.008374729,0.004573364,0.003244353,0.018231567,0.001576573,"14,561","87,570","15,182",2571,"46,718","7,462","33,015",724,1537.51,944.22,1284.91,5,430,1,E09000032,-1.0%,0.0178,0.0188,2.11%,0.0706,0.249,0.3645,0.1106,0.1176,0.0471,0.0285,0.012,474,855,600,306995,21670,76457,111903,33957,36097,14455,8763,3693
Waltham Forest,0.005711542,51.588638,-0.011763,14342000,55.53,13033,1475,6388,1358,468,965,4603,580,590,720,5080,5250,"6,330",0.050466798,0.024735817,0.008185898,0.005258491,0.003736704,0.017823883,0.001812205,"23,079","35,637","18,505",2114,"48,066","12,783","12,663","2,483",1413.17,876.34,1263.83,5,430,1,E09000031,-1.1%,0.0197,0.0193,2.10%,0.0807,0.2055,0.3209,0.1569,0.1371,0.0519,0.0334,0.0136,509,805,510,258249,20839,53063,82863,40513,35405,13413,8629,3524
Bolton,0.008428895,53.576865,-2.428219,21156000,76.43,16487,2333,10054,2129,736,1506,5410,880,1080,"1,430",7490,8960,"11,320",0.059565874,0.036324092,0.008978055,0.007691863,0.005441027,0.019545786,0.002659094,"25,054","35,937","23,380",2485,"64,833","14,327","21,454","2,438",2108.13,1522.83,1976.93,5,455,1,E08000001,0.5%,0.0271,0.0305,3.59%,0.0678,0.1559,0.2774,0.1654,0.1798,0.0851,0.0493,0.0192,751,855,"1,225",276786,18765,43155,76778,45794,49754,23553,13659,5328
North Tyneside,0.010114491,54.582918,-1.34671,18080000,90.04,12899,2031,8469,1889,658,1337,4247,770,890,"1,140",6400,7320,"8,960",0.064237728,0.042176085,0.009716087,0.009407324,0.006658333,0.021150293,0.003276876,"5,650","20,702","20,191",1951,"40,625","5,650","20,702","2,338",1942.15,1175.88,1838.11,5,475,1,E08000022,11.9%,0.0319,0.0346,4.05%,0.0584,0.1381,0.2859,0.1425,0.1993,0.0901,0.0622,0.0235,747,715,785,200801,11732,27740,57410,28612,40012,18096,12487,4712
Redbridge,0.007101122,51.58861,0.082398,18566000,66.55,14767,1981,8291,1840,635,1306,5093,780,890,"1,110",6570,7590,"9,330",0.052934007,0.029720042,0.008387999,0.006595691,0.004681507,0.018256443,0.002276230,"30,138","37,151","21,500",2340,"60,501","19,118","17,142","3,459",2063.18,1090.03,1702.53,5,525,1,E09000026,-5.2%,0.0235,0.0232,2.51%,0.0777,0.1772,0.2968,0.1746,0.1541,0.0603,0.0414,0.018,584,840,790,278970,21666,49429,82792,48719,42979,16817,11553,5015
Brighton & Hove,0.007941647,50.82253,-0.137163,20205000,73.93,15519,2171,8685,2029,705,1439,5200,870,980,"1,150",7150,7940,"9,180",0.056769422,0.031770245,0.008739104,0.007422202,0.005263947,0.019021908,0.002578932,"20,902","53,396","18,082",2389,"49,354","9,291","25,926","1,399",2494.13,1125.97,1816.34,5,535,1,E06000043,-9.1%,0.0262,0.0295,3.24%,0.0549,0.2229,0.3149,0.1278,0.1489,0.0639,0.0448,0.0219,545,920,570,273369,15015,60937,86096,34932,40697,17460,12248,5984
Dudley,0.010162179,52.512255,-2.081112,27859000,89.03,20032,3180,13243,2910,1011,2056,6420,1180,1470,"1,860",9860,11790,"14,360",0.064015339,0.042320045,0.009423983,0.009299353,0.006570264,0.020516098,0.003230806,"24,827","26,826","25,453",2949,"79,734","14,760","20,948","3,753",2811.59,2036.78,2866.37,5,535,1,E08000027,4.6%,0.0315,0.0368,4.33%,0.0603,0.1424,0.2714,0.1561,0.1838,0.1007,0.0633,0.022,578,955,855,312925,18867,44561,84918,48863,57519,31502,19797,6898
Salford,0.008053588,53.487523,-2.290126,17388000,74.34,13237,1884,7902,1742,606,1231,4354,730,820,"1,010",6150,6860,"8,270",0.056584578,0.033778903,0.008549456,0.007446577,0.005262190,0.018612167,0.002590485,"23,532","30,879","22,346",2000,"52,399","10,639","14,088","1,509",1904.28,1141.87,1617.14,5,535,1,E08000006,7.5%,0.0263,0.0262,2.87%,0.0695,0.2016,0.2775,0.1472,0.1623,0.075,0.0476,0.0193,857,875,"1,130",233933,16255,47168,64907,34441,37956,17543,11144,4519
Buckinghamshire,0.009365049,51.80722,-0.812766,42803000,84.72,31666,4732,19994,4336,1498,3072,10407,1810,2420,"3,290",15150,19380,"25,160",0.062669831,0.039569904,0.009462024,0.008581330,0.006079761,0.020596379,0.002964675,"18,871","44,152","20,031",4781,"101,215","19,257","50,948","7,190",4620.78,2888.4,4070.91,5,540,1,E10000002,-10.6%,0.03,0.0367,4.53%,0.063,0.1277,0.2847,0.1657,0.1924,0.0884,0.0559,0.0222,333,835,850,505283,31832,64527,143861,83713,97199,44690,28249,11212
Barnet,0.007890321,51.656923,-0.194925,26260000,73.68,19702,2812,11509,2615,902,1859,6739,1120,1460,"1,950",9290,11910,"15,470",0.055282755,0.032293637,0.008687210,0.007337550,0.005216254,0.018909273,0.002530964,"31,844","48,791","23,539",3096,"84,160","23,705","31,563","4,886",3208.32,1529.3,2336.89,5,600,1,E09000003,11.7%,0.0261,0.029,3.39%,0.0736,0.176,0.3026,0.1595,0.1552,0.0666,0.045,0.0215,575,"1,030","1,020",356386,26239,62729,107843,56834,55309,23723,16034,7675
Trafford,0.009352188,53.421513,-2.351726,18947000,83.61,13893,2119,8690,1951,676,1383,4625,810,930,"1,170",6700,7590,"9,260",0.061316633,0.038353238,0.009378669,0.008610721,0.006103858,0.020412397,0.002983520,"39,652","46,258","26,630",2125,"60,474","18,197","22,793","4,228",2082.53,1184.01,1892.61,5,615,1,E08000009,1.3%,0.0296,0.0316,3.54%,0.0656,0.1338,0.2977,0.1627,0.1801,0.0809,0.0569,0.0223,684,865,685,226578,14870,30313,67444,36861,40817,18325,12899,5049
Derby,0.008832090,52.92253,-1.474619,19476000,78.28,14335,2197,8885,2029,704,1438,4677,830,1020,"1,290",6890,8300,"10,180",0.057627677,0.035718306,0.008639127,0.008156718,0.005780858,0.018801859,0.002830128,"13,318","45,834","31,885",2149,"79,376","6,759","23,137","1,085",2120.4,1226.47,1980.34,5,645,1,E06000015,15.0%,0.0277,0.0301,3.39%,0.0713,0.1836,0.2771,0.1575,0.1591,0.0759,0.0544,0.0211,726,"1,085",720,248752,17743,45665,68918,39183,39574,18884,13540,5245
Liverpool,0.007919985,53.408371,-2.991573,33368000,71.54,26446,3694,15799,3388,1178,2396,8594,1380,1460,"1,740",11810,12380,"14,350",0.056700578,0.033873267,0.008464565,0.007263917,0.005137056,0.018425651,0.002525648,"21,500","37,397","21,510",3948,"100,161","16,768","33,702","3,887",3143.8,2218.77,3412.79,5,650,1,E08000012,5.0%,0.0253,0.027,3.01%,0.056,0.2335,0.2659,0.1347,0.1695,0.073,0.0508,0.0166,538,"1,235","1,275",466415,26099,108931,124037,62812,79070,34027,23709,7730
Cheshire East,0.010855733,53.153012,-2.28981,35765000,96.64,24808,4018,16677,3698,1281,2618,7971,1540,1960,"2,680",12660,15670,"20,350",0.067025643,0.045057507,0.009893901,0.009991165,0.007073248,0.021535851,0.003460974,"27,359","54,572","26,092",3662,"96,574","17,989","53,380","3,588",4035.41,2452.25,3441.55,5,665,1,E06000049,-3.2%,0.0342,0.0402,4.92%,0.0546,0.1244,0.2753,0.1481,0.2049,0.1025,0.0641,0.0262,619,990,"1,300",370127,20194,46033,101878,54808,75842,37951,23733,9688
Wakefield,0.009225472,53.683298,-1.505924,27171000,83.4,20646,3006,12996,2764,960,1953,6705,1130,1440,"1,930",9610,11840,"15,130",0.063362970,0.039884973,0.009452579,0.008482769,0.005993794,0.020577774,0.002946258,"30,531","51,764","26,947",3080,"87,963","18,353","39,706","5,501",2701.29,1954.7,2627.48,5,800,1,E08000036,14.5%,0.0295,0.0338,4.09%,0.06,0.147,0.2776,0.15,0.1961,0.0931,0.0557,0.0204,813,"1,175","1,475",325837,19545,47906,90468,48869,63907,30342,18138,6662
Leicestershire,0.009938677,52.740123,-1.140593,57903000,89.01,41956,6465,27213,5934,2051,4201,13501,2460,3250,"4,520",20490,26300,"34,740",0.064499169,0.041834681,0.009534366,0.009122368,0.006458218,0.020755155,0.003153013,"18,187","65,159","24,549",6202,"169,085","22,530","111,708","3,306",6219.28,3979.34,5588.38,5,850,1,E10000018,0.0%,0.0315,0.0368,4.48%,0.0556,0.1453,0.2728,0.1505,0.1984,0.095,0.0591,0.0234,543,"1,470","2,065",650489,36154,94490,177451,97930,129027,61791,38436,15210
Sheffield,0.008795038,53.381129,-1.470085,43681000,79.03,32013,4861,19923,4463,1546,3161,10270,1860,2160,"2,670",15460,17560,"21,090",0.057921324,0.036046810,0.008536307,0.008074934,0.005719217,0.018581576,0.002797188,"23,173","56,469","23,545",4718,"129,912","23,325","64,776","4,840",4825.34,2901.04,4255.26,5,945,1,E08000019,-14.3%,0.028,0.0304,3.46%,0.0615,0.2143,0.2655,0.1435,0.1601,0.0809,0.0529,0.0213,569,"1,510","1,635",552698,33977,118444,146764,79334,88481,44688,29237,11773
Somerset,0.012157246,51.058701,-2.949907,56115000,105.88,36135,6443,25954,5967,2066,4230,11347,2460,3210,"4,410",19860,25240,"33,000",0.068182847,0.048972399,0.009836369,0.011259085,0.007981554,0.021410565,0.003898319,"25,175","39,367","25,631",5213,"136,250","23,780","59,845","4,419",6797.57,3701.09,5474.07,5,955,1,E10000027,-4.8%,0.0375,0.0454,5.66%,0.0542,0.1253,0.2498,0.1514,0.2086,0.1084,0.0709,0.0313,582,"1,370","1,715",529972,28717,66406,132388,80241,110560,57463,37588,16609
Brent,0.005725945,51.567281,-0.271057,17013000,54.65,15935,1782,7995,1600,549,1135,5590,670,910,"1,110",6020,7560,"9,110",0.051202545,0.025689636,0.008251530,0.005141140,0.003646996,0.017961859,0.001764054,"19,370","35,395","18,459",2568,"57,638","12,187","15,983","4,795",1416.94,1171,1572.36,5,980,1,E09000005,11.3%,0.0193,0.0245,2.75%,0.0721,0.2126,0.3111,0.154,0.1452,0.0577,0.0358,0.0116,826,"1,530","1,040",311215,22446,66157,96834,47918,45184,17944,11137,3595
North Yorkshire,0.011571320,54.250359,-1.470855,60987000,101.92,40935,6924,28632,6379,2210,4515,12950,2630,3400,"4,620",21580,27010,"34,900",0.068410164,0.047849513,0.009941909,0.010660521,0.007545423,0.021641911,0.003693330,"28,033","45,947","22,735",5949,"136,682","28,526","73,985","4,064",6926.39,4217.85,5965.99,5,990,1,E10000023,-8.2%,0.0361,0.0438,5.44%,0.0519,0.1253,0.2578,0.1465,0.2127,0.1092,0.0686,0.0281,560,"1,495","1,855",598376,31040,74951,154235,87684,127267,65334,41076,16789
EAST MIDLANDS,0.009524793,,,387875000,85.56,283958,43178,181795,39597,13686,28039,91801,16400,20980,"28,690",137250,170890,"222,950",0.062639332,0.040102823,0.009302655,0.008734847,0.006185225,0.020250718,0.003019045,"18,058","49,433","24,706",42171,"1,119,988","151,412","526,139","29,184",41579.57,26733.86,37194.05,50,"7,480",1,E12000004,0.7%,0.0303,0.0346,4.15%,0.0596,0.1569,0.2726,0.1507,0.1897,0.0915,0.0566,0.0224,596,"12,340","14,665",4533222,270174,711177,1235770,683096,860057,414713,256569,101666
Bristol,0.007790133,51.454513,-2.58791,30751000,71.8,23237,3336,13535,3114,1081,2207,7741,1310,1390,"1,690",10880,11570,"13,720",0.054262389,0.031606552,0.008303871,0.007271725,0.005153724,0.018076566,0.002524321,"24,866","26,032","18,253",3556,"78,135","19,571","19,819","9,984",3676.43,1796.35,2816.16,50,730,1,E06000023,4.4%,0.0254,0.0251,2.81%,0.0692,0.2308,0.2854,0.1351,0.149,0.0647,0.0449,0.0208,606,"1,300","1,295",428234,29633,98834,122236,57870,63789,27725,19235,8912
EAST,0.010005875,,,520488000,89.02,368219,58504,240799,53788,18587,38128,119597,22320,28610,"38,880",184170,230170,"299,590",0.062976091,0.041183588,0.009396328,0.009199303,0.006520990,0.020454544,0.003178914,"29,193","46,054","25,142",54940,"1,470,033","323,641","643,254","69,957",58525.63,34309.64,50806.36,55,"10,710",1,E12000006,1.2%,0.0315,0.0362,4.35%,0.0618,0.1459,0.277,0.1531,0.187,0.0909,0.0599,0.0244,528,"16,190","14,655",5846965,361269,852840,1619674,895439,1093561,531393,350137,142652
NORTH WEST,0.009268344,,,586924000,83.23,434332,65362,276291,60038,20821,42465,140879,24720,29930,"38,890",207680,244940,"304,790",0.061588358,0.039178115,0.009176741,0.008513399,0.006021545,0.019976668,0.002952422,"23,941","39,744","23,844",64716,"1,681,504","317,117","640,196","64,290",61083.2,40648.27,57228.24,85,"11,685",1,E12000002,-2.8%,0.0294,0.0332,3.92%,0.0613,0.1627,0.2718,0.1517,0.1864,0.089,0.056,0.0211,624,"19,995","24,000",7052177,432091,1147684,1916887,1069948,1314412,627742,394596,148817
LONDON,0.006362170,,,495765000,60.65,428692,52004,222452,47724,16443,33880,150662,20260,24710,"31,320",175430,210090,"260,410",0.052446182,0.027214779,0.008467152,0.005838554,0.004144879,0.018431990,0.002011637,"20,919","48,248","18,850",69210,"1,540,754","339,881","601,821","71,574",50610.56,30687.51,44796.87,90,"12,835",1,E12000007,0.2%,0.0215,0.0231,2.62%,0.0724,0.2024,0.3215,0.1492,0.1438,0.0579,0.0378,0.0151,504,"22,835","18,340",8173941,591495,1654372,2627610,1219899,1175816,473058,308661,123030
